"Date,""Open"",""High"",""Low"",""Close"",""Volume"",""Adj Close"""
2004-08-19 07:00:00,100,104,96.0,100,22351900,100.34
2004-08-20 07:00:00,101,109,101,108,11428600,108.31
2004-08-23 07:00:00,111,113,109,109,9137200,109.4
2004-08-24 07:00:00,111,112,104,105,7631300,104.87
2004-08-25 07:00:00,105,108,104,106,4598900,106.0
2004-08-26 07:00:00,105,108,105,108,3551000,107.91
2004-08-27 07:00:00,108,109,106,106,3109000,106.15
2004-08-30 07:00:00,105,105,102,102,2601000,102.01
2004-08-31 07:00:00,102,104,102,102,2461400,102.37
2004-09-01 07:00:00,103,103,99.7,100,4573700,100.25
2004-09-02 07:00:00,99.2,102,98.9,102,7566900,101.51
2004-09-03 07:00:00,101,102,99.3,100,2578800,100.01
2004-09-07 07:00:00,101,102,99.6,102,2926700,101.58
2004-09-08 07:00:00,101,103,101,102,2495300,102.3
2004-09-09 07:00:00,103,103,101,102,2032900,102.31
2004-09-10 07:00:00,102,107,101,105,4353800,105.33
2004-09-13 07:00:00,107,108,106,108,3926000,107.5
2004-09-14 07:00:00,107,112,107,111,5419900,111.49
2004-09-15 07:00:00,111,114,110,112,5361900,112.0
2004-09-16 07:00:00,112,116,112,114,4637800,113.97
2004-09-17 07:00:00,114,117,114,117,4741000,117.49
2004-09-20 07:00:00,117,122,117,119,5319700,119.36
2004-09-21 07:00:00,120,120,118,118,3618000,117.84
2004-09-22 07:00:00,117,120,117,118,3794400,118.38
2004-09-23 07:00:00,119,123,117,121,4272100,120.82
2004-09-24 07:00:00,121,124,120,120,4566300,119.83
2004-09-27 07:00:00,120,121,118,118,3536600,118.26
2004-09-28 07:00:00,121,127,120,127,8473000,126.86
2004-09-29 07:00:00,127,135,126,131,15273500,131.08
2004-09-30 07:00:00,130,132,129,130,6885900,129.6
2004-10-01 07:00:00,131,134,129,133,7570000,132.58
2004-10-04 07:00:00,135,137,134,135,6517900,135.06
2004-10-05 07:00:00,135,139,132,138,7494100,138.37
2004-10-06 07:00:00,138,138,136,137,6697400,137.08
2004-10-07 07:00:00,137,140,137,139,7064600,138.85
2004-10-08 07:00:00,139,140,137,138,5540300,137.73
2004-10-11 07:00:00,137,139,134,135,5241300,135.26
2004-10-12 07:00:00,134,138,133,137,5838600,137.4
2004-10-13 07:00:00,143,144,140,141,9893000,140.9
2004-10-14 07:00:00,141,142,139,142,5226300,142.0
2004-10-15 07:00:00,145,146,142,144,6604000,144.11
2004-10-18 07:00:00,143,149,141,149,7025200,149.16
2004-10-19 07:00:00,151,152,147,148,9064000,147.94
2004-10-20 07:00:00,148,149,140,140,11372700,140.49
2004-10-21 07:00:00,144,150,142,149,14589500,149.38
2004-10-22 07:00:00,171,180,164,172,36891900,172.43
2004-10-25 07:00:00,176,194,173,187,32764200,187.4
2004-10-26 07:00:00,186,193,180,182,22307100,181.8
2004-10-27 07:00:00,183,190,182,186,13356500,185.97
2004-10-28 07:00:00,187,194,186,193,14846800,193.3
2004-10-29 07:00:00,199,200,191,191,21162500,190.64
2004-11-01 07:00:00,194,198,191,196,12224900,196.03
2004-11-02 07:00:00,199,199,193,195,11346300,194.87
2004-11-03 07:00:00,198,202,191,192,13888700,191.67
2004-11-04 07:00:00,188,190,183,185,14409600,184.7
2004-11-05 07:00:00,182,182,169,169,19833100,169.35
2004-11-08 07:00:00,171,175,169,173,11191800,172.55
2004-11-09 07:00:00,174,175,165,169,11064200,168.7
2004-11-10 07:00:00,171,173,166,168,10644000,167.86
2004-11-11 07:00:00,169,184,168,183,14985500,183.02
2004-11-12 07:00:00,185,190,177,182,16746100,182.0
2004-11-15 07:00:00,180,188,179,185,11901500,184.87
2004-11-16 07:00:00,178,179,171,173,20917400,172.54
2004-11-17 07:00:00,169,178,169,173,18132900,172.5
2004-11-18 07:00:00,170,174,166,168,16629600,167.54
2004-11-19 07:00:00,169,170,167,169,8769300,169.4
2004-11-22 07:00:00,164,170,161,165,12368200,165.1
2004-11-23 07:00:00,168,171,167,168,12413300,167.52
2004-11-24 07:00:00,175,177,173,175,15281000,174.76
2004-11-26 07:00:00,176,180,175,179,6480100,179.39
2004-11-29 07:00:00,180,183,178,181,10666600,181.05
2004-11-30 07:00:00,181,183,180,182,7700000,181.98
2004-12-01 07:00:00,182,183,180,180,7864100,179.96
2004-12-02 07:00:00,180,182,179,179,6260900,179.4
2004-12-03 07:00:00,180,181,178,180,5869200,180.4
2004-12-06 07:00:00,179,181,176,176,6254000,176.29
2004-12-07 07:00:00,176,176,171,171,6870900,171.43
2004-12-08 07:00:00,170,174,169,170,7541800,169.98
2004-12-09 07:00:00,170,174,168,173,7654000,173.43
2004-12-10 07:00:00,173,175,171,172,4317200,171.65
2004-12-13 07:00:00,172,173,169,170,4818600,170.45
2004-12-14 07:00:00,171,179,170,179,11088400,178.69
2004-12-15 07:00:00,178,181,177,180,11471000,179.78
2004-12-16 07:00:00,177,180,176,176,8572800,176.47
2004-12-17 07:00:00,177,181,177,180,7386200,180.08
2004-12-20 07:00:00,182,188,182,185,9834500,185.02
2004-12-21 07:00:00,186,188,183,184,5516300,183.75
2004-12-22 07:00:00,184,187,183,186,3907000,186.3
2004-12-23 07:00:00,187,189,186,188,3614600,187.9
2004-12-27 07:00:00,189,193,189,192,6104100,191.91
2004-12-28 07:00:00,192,194,191,193,4145800,192.76
2004-12-29 07:00:00,192,194,192,193,2678100,192.9
2004-12-30 07:00:00,193,198,192,198,5904300,197.6
2004-12-31 07:00:00,199,200,193,193,7668500,192.79
2005-01-03 07:00:00,197,204,195,203,15844200,202.71
2005-01-04 07:00:00,201,203,193,195,13755900,194.5
2005-01-05 07:00:00,193,197,192,194,8236600,193.51
2005-01-06 07:00:00,195,196,188,189,10387100,188.55
2005-01-07 07:00:00,191,194,189,194,9662900,193.85
